Bogged - 16_HP_(8_Herzen)
Breeze - 30_HP_(15_Herzen)
Blaze - 20_HP_(10_Herzen)
Creeper - 20_HP_(10_Herzen)
Evoker - 24_HP_(12_Herzen)
Ghast - 10_HP_(5_Herzen)
Guardian - 30_HP_(15_Herzen)
Hoglin - 40_HP_(20_Herzen)
Husk - 20_HP_(10_Herzen)
Magma_Cube - 16_HP_(Groß)
Phantom - 20_HP_(10_Herzen)
Piglin_Brute - 50_HP_(25_Herzen)
Pillager - 24_HP_(12_Herzen)
Ravager - 100_HP_(50_Herzen)
Shulker - 30_HP_(15_Herzen)
Silverfish - 8_HP_(4_Herzen)
Skeleton - 20_HP_(10_Herzen)
Slime - 16_HP_(Groß)
Stray - 20_HP_(10_Herzen)
Vex - 14_HP_(7_Herzen)
Vindicator - 24_HP_(12_Herzen)
Warden - 500_HP_(250_Herzen)
Witch - 26_HP_(13_Herzen)
Wither_Skeleton - 20_HP_(10_Herzen)
Zoglin - 40_HP_(20_Herzen)
Zombie - 20_HP_(10_Herzen)
Zombie_Villager - 20_HP_(10_Herzen)
Enderdrache - 200_HP_(100_Herzen)
Wither - 300_HP_(150_Herzen)
